test-merror-mean,test-merror-std,train-merror-mean,train-merror-std,nb,bst_nb,bst_merror
0.139001,0.00588311244156,0.0766674,0.00156532125776,60,4124,0.1239286
0.1390992,0.00602357493188,0.0761012,0.00139802995676,61,4124,0.1239286
0.1390994,0.00668897973087,0.0761992,0.00132603867214,62,4124,0.1239286
0.1392966,0.00621414816688,0.0759284,0.00143390635678,63,4124,0.1239286
0.1388036,0.00607869070113,0.075608,0.00153446511853,64,4124,0.1239286
0.1390008,0.00574342049305,0.0754606,0.00163701503964,65,4124,0.1239286
0.1391978,0.00596036738465,0.075313,0.00155014837999,66,4124,0.1239286
0.1390008,0.0062897822347,0.0750912,0.00154604571731,67,4124,0.1239286
0.1390996,0.00622306900492,0.0750912,0.00166919734004,68,4124,0.1239286
0.1389024,0.00647237386436,0.0750666,0.00187820005324,69,4124,0.1239286
0.1385084,0.00609053319833,0.074771,0.0017871853849,70,4124,0.1239286
0.13841,0.00618873176022,0.0744508,0.00176528959664,71,4124,0.1239286
0.1382128,0.00617721488699,0.0743278,0.00194023363542,72,4124,0.1239286
0.138508,0.00611890529425,0.0739092,0.00172481377546,73,4124,0.1239286
0.1385082,0.00640457437774,0.0734902,0.00179184747119,74,4124,0.1239286
0.1384098,0.00626551250577,0.0732688,0.00165174518616,75,4124,0.1239286
0.13841,0.00657675232923,0.073047,0.00148992147444,76,4124,0.1239286
0.1380156,0.00600690867585,0.0728006,0.00127000072441,77,4124,0.1239286
0.1378186,0.00643560892535,0.072604,0.00136770420779,78,4124,0.1239286
0.1382126,0.00662143729412,0.0725792,0.00137005159027,79,4124,0.1239286
0.1383114,0.00627503193936,0.0725792,0.00128071923543,80,4124,0.1239286
0.1384096,0.00636434960071,0.072185,0.00147371869772,81,4124,0.1239286
0.1382128,0.00660661061059,0.0719634,0.0013851689572,82,4124,0.1239286
0.1381142,0.00673744130661,0.071717,0.00163120164296,83,4124,0.1239286
0.1378186,0.00635642209423,0.071323,0.00151914120476,84,4124,0.1239286
0.1382126,0.00696342566845,0.0710276,0.0014195338108,85,4124,0.1239286
0.1382126,0.00667372164838,0.0708306,0.00137185314083,86,4124,0.1239286
0.1377202,0.00668917266633,0.0705594,0.00137371403138,87,4124,0.1239286
0.1375234,0.00655545173424,0.0704116,0.00125417871135,88,4124,0.1239286
0.137523,0.0069984141918,0.0702886,0.00120685866612,89,4124,0.1239286
0.1376218,0.00721963149752,0.07019,0.00122586181929,90,4124,0.1239286
0.1378188,0.00737807805326,0.0698454,0.00127724791642,91,4124,0.1239286
0.1378188,0.00711724062822,0.0694268,0.00124419844076,92,4124,0.1239286
0.1376218,0.00704946487047,0.0694018,0.00120501093771,93,4124,0.1239286
0.137523,0.00713784188673,0.0690574,0.00127737850303,94,4124,0.1239286
0.1374244,0.00650345054875,0.068811,0.00132179832047,95,4124,0.1239286
0.1373262,0.00645285872773,0.068811,0.00129618332037,96,4124,0.1239286
0.137326,0.00618400979947,0.0684662,0.00131379289083,97,4124,0.1239286
0.1374246,0.00623692907127,0.0682692,0.00145974688217,98,4124,0.1239286
0.137129,0.00604439214479,0.0679986,0.00150809410847,99,4124,0.1239286
0.1371288,0.00650729471901,0.0676042,0.00143693916364,100,4124,0.1239286
0.136735,0.00623321525378,0.0676044,0.00130639421309,101,4124,0.1239286
0.1370304,0.00615294598059,0.0673578,0.00136532243811,102,4124,0.1239286
0.1372276,0.00614706204947,0.06721,0.00134581023922,103,4124,0.1239286
0.1373262,0.00617614787388,0.0670624,0.00140772619497,104,4124,0.1239286
0.137326,0.0060317505585,0.066545,0.00131027218546,105,4124,0.1239286
0.137129,0.00613664224149,0.0664466,0.0013973850722,106,4124,0.1239286
0.1372274,0.00657219450716,0.0662988,0.00133713266358,107,4124,0.1239286
0.1366362,0.00698617347051,0.0661758,0.00154382426461,108,4124,0.1239286
0.136932,0.00710573965186,0.0659786,0.00132089524187,109,4124,0.1239286
0.1368332,0.00680929504134,0.0658064,0.00131912480077,110,4124,0.1239286
0.136932,0.00666232821167,0.0655354,0.00117259449086,111,4124,0.1239286
0.1366364,0.00692326300526,0.0652646,0.00119457617589,112,4124,0.1239286
0.1366366,0.00653277119146,0.0649198,0.00133424786303,113,4124,0.1239286
0.1368336,0.00635854252482,0.064772,0.00145515772341,114,4124,0.1239286
0.1365382,0.0067791341748,0.0646488,0.00161366866488,115,4124,0.1239286
0.1369318,0.00682595793717,0.0644518,0.00149967481809,116,4124,0.1239286
0.136538,0.00665010496158,0.0643286,0.00140777819276,117,4124,0.1239286
0.136735,0.00686619999709,0.0642054,0.0014052839713,118,4124,0.1239286
0.136144,0.00659297377516,0.0640578,0.00129508368842,119,4124,0.1239286
0.1362426,0.0065265395609,0.063787,0.00132408609992,120,4124,0.1239286
0.1362426,0.00625345244165,0.0634912,0.00134576898463,121,4124,0.1239286
0.136341,0.00665809011654,0.0633926,0.00130024760719,122,4124,0.1239286
0.136144,0.00630737742647,0.0631958,0.00116209094308,123,4124,0.1239286
0.1360454,0.00628109689784,0.063122,0.00120854242789,124,4124,0.1239286
0.1361442,0.00641408320495,0.062949,0.0011953325897,125,4124,0.1239286
0.1358484,0.0065083846721,0.0628262,0.0014202100408,126,4124,0.1239286
0.1356512,0.00644431102291,0.0626538,0.00145807206955,127,4124,0.1239286
0.1355526,0.00620447408247,0.0624814,0.00155942073861,128,4124,0.1239286
0.1355528,0.00612687703157,0.0623336,0.00171298366601,129,4124,0.1239286
0.1352574,0.00595242157781,0.0622104,0.00164256380089,130,4124,0.1239286
